SiO2,Al2O3,FeO,MgO,CaO,Na2O,K2O,TiO2,Mineral
75.24,18.31,14.23,7.37,7.84,1.11,4.17,2.75,Syenite
73.46,24.43,7.74,3.58,3.02,4.52,0.54,0.28,Amphibolite
32.88,18.09,7.61,1.57,5.2,3.01,1.39,1.38,Pyroxene
57.02,7.48,12.02,4.75,4.46,7.82,3.58,1.53,Quartz
56.95,9.02,11.37,1.11,10.76,0.51,3.44,1.81,Olivine
42.88,9.46,4.99,4.68,9.45,7.5,3.01,2.68,Gabbro
34.18,8.46,12.09,3.86,7.95,4.79,0.87,2.37,Quartz
48.73,7.33,12.5,12.29,9.56,5.77,4.51,1.54,Talc
67.08,24.29,11.25,9.15,4.07,7.28,0.72,0.54,Basalt
58.62,9.23,5.62,10.95,8.26,3.32,1.59,0.36,Dolomite
74.63,20.57,4.29,6.76,4.96,5.24,3.23,2.1,Peridotite
47.75,12.01,1.61,10.04,0.78,5.09,0.66,0.89,Amphibole
62.23,23.52,5.99,3.01,4.99,5.19,1.38,0.68,Peridotite
57.48,8.61,12.75,7.41,7.33,1.0,2.94,1.02,Dolomite
32.21,24.7,7.4,6.66,1.37,5.98,3.1,0.69,Marble
73.14,12.55,5.87,4.86,4.69,7.54,1.37,1.7,Granite
53.27,21.6,4.46,10.21,6.54,1.82,4.3,1.38,Granite
35.13,12.55,11.48,3.4,0.58,1.04,4.54,1.7,Talc
65.13,23.16,8.04,4.31,6.47,7.25,3.82,2.97,Granite
76.83,19.86,7.93,10.25,9.7,2.47,4.46,1.9,Basalt
70.05,6.44,12.07,14.39,7.71,2.5,1.79,0.63,Amphibole
47.34,6.76,6.49,10.88,9.52,3.32,3.4,1.33,Olivine
33.07,9.62,14.9,3.18,5.03,3.55,4.22,2.79,Slate
69.24,13.59,12.77,1.47,4.15,7.89,2.53,2.98,Rhyolite
75.8,23.94,4.64,12.14,3.74,1.02,4.01,0.21,Amphibole
31.59,9.19,1.59,13.36,2.68,7.44,1.25,2.0,Dolomite
65.76,14.33,9.38,7.21,2.05,3.7,2.01,1.95,Amphibolite
51.05,9.28,5.18,1.04,9.69,0.97,0.81,2.51,Mica
41.95,22.24,4.64,8.96,7.81,3.89,2.62,0.34,Syenite
74.52,18.59,1.21,3.23,0.57,2.71,4.39,2.56,Serpentine
58.77,10.7,11.93,3.3,5.21,2.99,1.9,1.69,Slate
33.0,12.32,12.66,4.41,7.17,1.33,2.32,1.56,Amphibole
38.77,9.52,9.12,5.1,4.02,0.68,3.57,1.22,Serpentine
68.87,23.79,3.02,14.01,5.59,1.84,2.27,0.35,Peridotite
49.76,17.33,12.26,10.09,11.03,2.16,3.18,1.54,Talc
41.45,23.39,13.18,5.76,6.1,5.59,4.0,2.85,Dolomite
43.75,12.27,14.85,8.38,2.05,6.15,2.31,2.97,Peridotite
31.77,17.48,1.27,6.37,6.67,7.66,3.56,0.31,Olivine
77.38,13.04,7.71,9.68,0.53,2.75,2.62,1.03,Dolomite
60.59,21.87,8.15,1.19,11.47,6.34,0.54,2.61,Rhyolite
60.24,8.88,2.2,12.27,5.21,4.63,4.21,2.14,Granite
76.65,23.97,14.71,4.62,6.79,0.82,0.77,1.85,Basalt
64.95,13.19,12.11,8.18,4.92,5.37,4.91,2.44,Peridotite
75.68,24.1,5.77,6.26,4.53,5.34,2.92,1.85,Amphibole
63.3,13.36,12.11,11.93,8.82,2.7,2.03,1.92,Olivine
74.58,13.44,8.45,5.14,11.74,4.07,1.02,2.3,Talc
65.4,21.89,13.25,1.59,1.8,0.9,2.57,1.1,Peridotite
72.18,10.54,13.81,10.28,5.63,4.69,0.93,2.25,Quartz
72.82,13.95,5.99,13.85,2.04,4.19,2.94,0.46,Amphibole
59.39,7.53,1.01,13.25,10.84,0.84,2.07,1.53,Marble
59.7,8.5,4.86,5.78,8.86,5.48,2.67,2.06,Chlorite
58.17,6.35,2.18,14.04,10.7,2.15,2.44,1.35,Talc
48.35,23.87,3.83,13.65,9.14,3.91,1.15,2.11,Peridotite
49.53,22.32,10.05,12.99,6.82,2.54,2.47,0.9,Dolomite
50.82,16.15,13.95,1.07,11.98,0.72,2.21,2.2,Serpentine
53.77,19.4,4.02,10.8,1.5,5.36,4.82,0.32,Gabbro
70.15,21.83,11.07,5.01,7.98,6.4,1.68,0.93,Pyroxene
69.77,6.13,5.98,3.19,3.6,3.41,1.87,0.59,Andesite
70.97,13.97,4.61,4.85,10.65,5.51,4.25,0.33,Rhyolite
68.7,19.86,14.64,9.15,2.98,0.6,2.36,1.02,Pyroxene
51.3,13.8,13.49,5.13,5.33,2.0,2.95,2.88,Syenite
70.81,11.35,4.8,11.54,6.15,0.96,3.35,1.89,Olivine
33.09,11.8,7.29,8.31,9.16,2.6,0.77,0.83,Olivine
76.34,20.04,6.5,2.02,8.42,4.07,2.85,0.57,Dolomite
76.66,22.05,14.75,3.68,0.84,3.12,2.66,0.27,Feldspar
53.39,17.97,11.18,4.74,6.03,4.8,3.37,1.15,Peridotite
31.95,8.19,1.52,4.89,2.21,7.97,1.74,2.21,Peridotite
73.86,20.57,8.38,13.17,10.6,5.24,0.97,1.27,Syenite
31.35,7.7,4.62,4.48,3.96,5.06,4.77,0.79,Dolomite
63.78,23.86,9.86,6.99,6.95,1.38,0.86,2.69,Talc
79.57,12.8,9.75,14.39,0.61,6.02,4.15,0.53,Slate
38.52,6.26,5.28,10.61,3.38,1.07,2.08,1.08,Rhyolite
57.81,14.62,11.64,2.47,8.0,5.07,0.99,0.55,Amphibole
64.69,23.01,12.9,12.65,1.27,2.65,0.64,2.61,Pyroxene
49.09,14.74,14.09,8.71,2.87,6.32,1.49,0.31,Talc
76.75,24.41,4.54,1.53,2.0,1.07,2.56,0.92,Quartz
61.19,6.32,10.56,11.98,9.4,7.09,1.95,1.31,Granite
31.99,17.04,10.22,12.59,1.7,2.41,1.01,0.8,Dolomite
51.86,13.66,6.37,3.35,4.51,3.42,3.06,1.32,Chlorite
65.53,9.01,9.69,7.43,11.59,3.55,3.59,2.57,Chlorite
32.87,16.32,8.01,5.91,5.65,1.31,1.68,0.49,Amphibolite
40.83,18.21,8.96,8.27,11.67,7.4,3.39,2.82,Granite
40.42,20.0,1.68,5.94,11.86,1.73,1.02,2.98,Olivine
54.62,17.73,4.59,1.81,1.19,5.67,3.43,1.67,Amphibolite
78.47,5.5,8.88,4.48,7.99,7.35,1.16,2.05,Syenite
53.32,18.11,2.73,11.94,1.5,4.77,0.93,1.22,Olivine
51.2,20.52,12.46,10.45,2.2,1.17,1.79,3.0,Talc
51.3,20.91,2.23,1.9,1.09,2.16,4.19,2.94,Pyroxene
38.24,21.62,4.24,4.27,10.8,3.51,0.6,2.15,Peridotite
32.01,8.32,8.88,10.25,6.76,3.1,4.67,0.87,Olivine
61.28,5.65,11.47,6.81,6.82,6.23,3.85,1.08,Olivine
32.19,23.76,10.22,4.87,2.75,8.0,0.84,2.73,Marble
38.87,8.02,13.25,3.93,6.5,3.94,3.43,0.4,Olivine
79.14,8.09,10.45,13.83,8.48,2.76,4.37,2.39,Slate
49.81,8.4,13.2,9.15,4.43,7.12,1.56,1.75,Olivine
68.97,17.39,7.12,10.67,6.15,4.76,3.48,0.4,Syenite
39.19,20.81,9.38,9.76,8.69,7.95,3.13,2.43,Chlorite
38.19,9.08,5.44,6.15,3.63,7.01,2.7,2.21,Talc
57.72,7.54,5.76,14.0,8.39,5.57,1.02,2.68,Serpentine
38.28,8.49,10.72,4.39,10.53,1.0,3.0,2.99,Pyroxene
74.91,8.45,14.33,4.56,4.18,4.66,2.96,2.0,Amphibole
40.8,11.08,1.21,2.89,4.51,4.42,2.03,0.46,Amphibole
33.84,19.92,3.42,1.62,4.47,3.09,2.83,2.48,Talc
52.86,5.2,6.02,13.44,8.64,5.5,2.92,0.52,Amphibolite
58.24,8.54,10.12,9.02,5.59,3.43,3.76,1.3,Mica
48.07,10.4,11.23,4.78,10.57,4.98,3.98,0.24,Talc
72.24,15.58,11.65,1.93,9.89,0.96,4.7,0.82,Rhyolite
51.86,20.33,14.48,4.77,11.99,7.65,4.85,0.6,Quartz
42.16,16.11,14.4,10.34,8.0,7.28,4.8,2.73,Quartz
79.67,17.85,8.13,4.04,10.11,4.55,2.05,1.78,Dolomite
68.75,8.48,13.23,9.45,7.73,7.49,4.77,1.26,Andesite
68.72,18.41,1.75,3.71,6.61,4.66,1.35,0.96,Marble
43.23,11.0,9.94,2.49,6.04,3.65,2.47,2.28,Peridotite
54.22,21.85,12.93,7.97,11.9,2.44,2.03,1.66,Dolomite
37.66,19.91,13.96,4.11,2.11,4.29,2.01,2.79,Granite
69.69,14.41,3.09,14.19,9.45,0.92,4.07,0.94,Feldspar
44.97,8.34,11.48,5.55,5.75,3.98,0.55,2.73,Mica
75.55,14.12,8.5,3.57,6.99,4.24,1.9,1.22,Talc
52.82,9.48,13.58,1.46,9.59,4.84,2.81,2.91,Marble
49.1,6.34,1.67,4.94,3.35,2.4,3.01,1.56,Quartz
52.88,14.22,3.77,8.99,11.04,0.64,4.25,0.53,Rhyolite
64.43,19.44,9.31,2.83,6.98,7.99,0.95,2.23,Serpentine
64.39,7.96,6.47,6.65,4.03,2.61,4.25,2.12,Basalt
40.23,24.72,3.48,6.89,10.21,7.43,2.74,0.46,Mica
56.38,15.44,11.91,3.23,1.35,5.0,1.55,2.58,Rhyolite
31.63,10.56,10.47,10.3,9.16,6.45,1.14,1.47,Amphibolite
36.83,24.69,7.91,4.52,4.04,3.86,1.73,1.65,Amphibole
40.77,17.31,14.18,2.96,2.72,4.54,4.24,1.08,Pyroxene
47.67,10.75,4.31,14.29,6.63,7.79,3.79,1.62,Feldspar
60.05,12.92,5.34,14.15,10.51,1.38,2.65,0.58,Talc
30.5,8.23,3.51,5.66,6.38,4.17,4.83,2.3,Mica
72.53,24.37,6.46,8.62,7.18,4.85,0.57,1.78,Olivine
63.44,13.7,5.72,13.97,9.37,5.94,4.4,2.61,Basalt
70.82,19.81,6.16,9.05,8.84,3.49,4.12,2.06,Gabbro
64.91,24.57,10.76,3.02,9.53,5.64,1.32,2.81,Peridotite
76.4,14.89,13.0,5.14,3.79,2.51,0.93,1.58,Amphibole
39.71,23.21,11.24,9.22,7.09,3.54,0.99,1.59,Basalt
76.9,19.71,11.73,5.01,9.21,1.27,1.5,0.47,Serpentine
48.05,24.91,14.28,10.45,10.05,1.36,1.74,0.63,Granite
32.89,21.26,14.96,3.18,4.33,7.04,0.58,1.82,Rhyolite
76.43,21.0,8.04,10.31,1.84,1.47,0.94,2.62,Pyroxene
34.13,12.87,9.02,13.38,0.62,2.85,2.52,2.79,Andesite
51.31,7.54,2.06,8.31,1.49,1.63,4.71,1.0,Granite
61.62,17.37,1.69,13.31,7.43,7.3,0.9,2.6,Olivine
76.0,8.16,14.51,8.51,9.31,0.69,1.03,2.71,Granite
46.92,13.1,6.65,7.7,9.51,5.16,3.5,1.13,Dolomite
78.08,9.04,7.67,4.4,11.95,3.47,0.81,0.76,Andesite
66.76,12.25,12.22,12.22,2.27,6.77,4.54,0.24,Peridotite
34.26,22.33,3.39,12.57,3.59,1.33,1.79,2.58,Talc
42.06,23.39,5.94,6.24,7.69,4.78,4.67,1.11,Basalt
31.89,21.83,1.96,5.88,8.02,0.85,1.53,0.33,Basalt
39.75,12.27,7.28,9.53,2.81,4.28,3.42,1.02,Talc
45.81,21.57,9.44,3.79,10.67,6.01,3.52,1.94,Feldspar
35.9,17.81,7.73,13.75,6.0,2.01,5.0,0.87,Dolomite
36.71,14.23,11.76,7.47,2.9,3.57,2.97,1.39,Mica
45.36,15.34,1.89,5.46,9.07,4.07,3.84,2.89,Andesite
72.4,10.08,6.21,9.95,0.67,6.93,1.26,1.18,Olivine
53.32,7.89,1.19,10.76,9.54,7.64,3.61,2.97,Feldspar
63.53,23.16,4.49,2.65,1.09,2.03,2.52,1.88,Quartz
70.24,10.12,8.12,9.46,1.67,1.76,4.24,1.76,Chlorite
65.83,11.48,4.38,10.76,3.41,7.32,3.54,2.0,Gabbro
42.1,11.48,14.65,3.33,3.25,0.56,3.18,2.33,Rhyolite
67.32,14.27,5.69,11.47,3.76,4.19,2.89,2.61,Amphibolite
68.36,14.04,7.86,3.64,1.58,0.98,4.22,0.79,Amphibole
55.97,11.72,8.82,1.07,1.51,6.86,1.32,2.25,Rhyolite
44.15,11.48,4.02,7.1,10.52,6.46,3.66,2.43,Chlorite
54.32,11.63,7.49,12.85,0.77,6.77,2.78,1.44,Gabbro
53.28,20.49,14.02,6.38,5.04,5.08,4.91,0.31,Quartz
61.66,13.54,6.35,8.36,4.7,7.53,2.85,2.91,Talc
58.3,10.99,1.95,13.34,10.76,7.32,0.63,0.62,Slate
52.63,14.06,5.0,4.17,7.55,7.08,0.58,1.88,Olivine
75.53,5.94,3.21,2.47,10.56,5.97,2.34,1.35,Granite
32.16,10.73,1.91,2.26,6.73,2.72,1.31,1.05,Gabbro
53.91,18.13,7.54,2.09,4.61,1.32,2.74,1.17,Granite
32.1,21.95,5.34,8.02,4.81,2.4,0.73,1.05,Amphibole
62.42,12.43,8.08,2.45,1.89,5.47,1.07,1.59,Talc
32.05,20.34,9.11,6.94,5.04,2.85,2.76,2.85,Pyroxene
76.41,13.82,2.34,1.18,9.69,1.32,0.94,1.02,Gabbro
31.84,13.75,11.12,14.58,5.08,7.78,1.67,0.23,Serpentine
43.33,20.83,6.67,2.42,9.79,5.13,1.76,0.95,Amphibole
79.76,10.55,9.1,5.21,10.52,5.94,1.77,2.48,Slate
67.96,22.17,6.87,6.64,6.25,3.93,3.7,0.92,Dolomite
52.57,5.97,14.56,6.52,4.15,4.01,4.98,1.2,Quartz
78.73,9.9,10.21,12.27,3.06,1.24,3.75,0.75,Gabbro
34.08,23.59,9.02,3.51,1.33,7.89,1.53,1.9,Talc
32.41,13.27,12.09,13.33,6.59,4.29,2.62,1.97,Marble
66.23,16.05,7.68,10.12,5.62,5.08,0.83,1.66,Syenite
72.99,13.66,5.47,7.86,6.37,6.41,1.7,2.39,Marble
47.04,10.75,10.02,3.75,5.61,7.45,3.8,2.53,Pyroxene
39.39,10.82,11.45,12.97,3.7,1.14,3.58,0.47,Feldspar
34.68,22.07,11.15,6.68,11.81,1.52,2.73,2.12,Pyroxene
71.49,5.12,6.67,10.88,6.62,2.13,0.55,2.85,Mica
45.56,16.71,9.16,11.67,9.88,6.83,0.97,2.08,Granite
69.61,18.36,4.12,5.35,1.59,5.04,2.54,2.32,Andesite
78.28,15.22,1.85,3.1,5.92,1.22,2.84,0.59,Talc
65.69,21.45,1.99,10.59,4.61,1.53,2.32,1.31,Talc
31.55,15.01,10.47,8.83,8.59,3.4,0.86,2.81,Amphibolite
56.93,19.55,8.54,6.79,7.2,2.32,2.62,1.16,Amphibole
61.54,8.91,13.66,9.29,6.05,7.93,3.52,2.57,Amphibole
71.35,11.98,12.31,5.51,11.3,1.44,3.79,2.81,Dolomite
49.25,12.0,4.51,12.32,9.12,3.16,3.86,2.56,Pyroxene
32.28,15.75,7.79,11.25,10.15,6.57,1.43,0.4,Syenite
67.29,22.51,14.18,4.37,2.9,2.65,1.08,1.61,Syenite
54.71,23.87,14.85,8.33,9.59,4.74,3.5,1.02,Talc
78.79,19.63,11.8,8.23,11.86,2.46,1.85,2.36,Gabbro
64.24,17.65,12.59,11.15,11.66,0.75,2.0,2.32,Rhyolite
63.48,6.62,4.18,10.57,11.82,6.85,3.88,1.26,Rhyolite
39.79,8.89,13.5,10.24,4.81,0.84,2.24,1.85,Granite
34.6,11.17,8.16,13.9,10.38,5.97,4.68,0.51,Talc
35.71,17.19,11.15,12.53,6.88,3.99,2.92,0.43,Andesite
65.14,20.03,10.35,10.32,7.96,6.43,0.62,2.04,Marble
46.94,17.08,8.88,13.98,9.5,3.74,3.7,2.23,Marble
53.58,14.55,5.02,4.87,7.97,4.29,1.45,0.65,Andesite
36.8,5.44,6.86,2.24,11.67,4.16,2.69,1.17,Chlorite
40.52,24.43,9.74,14.68,3.72,6.57,2.4,1.61,Pyroxene
77.78,16.11,7.31,8.39,11.88,5.3,0.66,1.24,Serpentine
42.59,10.31,4.54,12.42,8.54,6.43,1.66,2.47,Andesite
47.28,24.82,11.34,13.41,7.58,7.67,4.23,2.13,Slate
34.38,11.97,10.53,13.34,10.88,6.2,2.33,0.52,Pyroxene
78.99,14.63,13.48,14.35,11.19,2.84,0.96,2.41,Amphibole
48.07,11.4,8.05,11.68,5.98,7.53,3.37,0.45,Marble
43.99,20.57,9.51,5.1,7.1,2.04,0.9,2.5,Amphibolite
49.55,9.41,3.03,6.05,9.1,4.52,1.44,1.43,Mica
54.42,9.51,8.38,7.57,11.18,1.08,3.46,0.7,Peridotite
68.39,15.32,9.65,2.34,8.75,3.73,1.51,1.03,Feldspar
57.48,11.44,6.88,14.41,6.06,7.58,2.87,0.64,Rhyolite
49.5,20.91,1.61,5.01,8.8,3.21,3.85,0.3,Pyroxene
71.83,6.85,11.53,11.36,2.57,7.39,2.81,1.66,Gabbro
48.56,12.65,14.43,1.14,6.87,7.26,1.05,1.92,Talc
42.47,10.95,6.38,7.93,11.78,2.47,2.64,0.82,Andesite
72.38,12.25,8.06,3.96,9.57,2.98,1.17,1.44,Mica
36.06,24.18,8.09,9.49,2.34,4.55,1.89,1.55,Amphibole
34.87,13.26,13.22,10.53,11.68,5.55,0.8,0.22,Olivine
52.27,21.99,11.92,12.75,11.3,6.55,4.92,0.31,Chlorite
35.14,14.67,4.54,14.59,6.83,3.9,0.96,1.8,Olivine
40.34,16.02,12.07,10.66,4.48,2.62,0.82,1.78,Andesite
36.95,7.48,13.97,4.26,6.22,5.43,4.81,2.79,Rhyolite
43.66,9.46,1.22,12.49,5.61,7.28,3.92,2.57,Quartz
77.76,24.23,10.22,4.89,3.22,0.78,2.4,2.48,Syenite
55.84,16.14,5.48,13.39,7.93,3.53,2.35,0.8,Rhyolite
48.2,12.6,11.13,10.47,3.97,1.29,2.02,0.46,Rhyolite
53.12,18.08,10.25,12.51,1.08,6.19,4.64,0.5,Slate
38.2,14.86,7.48,2.35,3.88,7.93,4.76,3.0,Olivine
77.73,11.82,11.29,10.42,6.0,1.05,3.22,0.28,Rhyolite
63.71,23.27,4.2,14.22,5.83,7.57,2.89,1.82,Andesite
30.53,15.49,2.95,10.67,5.53,6.59,0.6,0.94,Feldspar
38.7,13.3,4.49,4.29,5.09,2.5,4.86,1.62,Dolomite
63.19,24.22,14.22,12.33,0.85,1.91,1.68,1.69,Talc
45.6,6.95,4.35,11.62,11.32,3.69,3.3,1.01,Slate
37.53,17.1,9.51,11.76,3.03,3.78,3.4,2.48,Dolomite
49.34,24.41,4.58,12.26,5.8,4.61,4.61,1.77,Peridotite
63.81,22.62,3.84,7.8,11.37,4.24,0.87,1.41,Andesite
45.09,9.84,11.2,12.18,3.44,0.66,1.82,1.78,Peridotite
68.21,24.02,12.33,12.05,3.81,7.53,1.81,0.33,Olivine
37.21,15.88,7.3,2.52,8.9,4.89,3.75,2.36,Granite
71.91,19.73,14.82,14.67,8.46,2.53,3.51,2.96,Quartz
60.71,23.59,4.07,10.87,9.73,2.73,1.34,2.32,Granite
62.96,17.18,11.34,8.12,4.7,1.45,3.72,0.9,Feldspar
78.85,14.36,4.21,11.75,9.75,5.18,1.3,1.56,Slate
75.23,13.14,7.65,13.0,11.94,2.37,0.54,2.72,Marble
68.47,15.46,10.71,9.61,11.38,2.31,0.81,1.36,Serpentine
73.37,22.28,1.92,9.9,2.48,2.48,4.68,1.4,Gabbro
47.52,15.82,5.55,3.91,6.87,0.66,0.96,0.76,Serpentine
66.6,21.2,10.78,5.03,6.08,0.74,4.33,2.41,Granite
45.8,12.43,12.7,12.1,5.17,4.28,2.45,1.21,Granite
70.33,7.1,11.04,13.64,6.1,4.1,1.06,2.37,Chlorite
61.22,11.85,13.94,14.92,5.17,5.75,1.07,1.38,Marble
60.89,10.67,10.6,6.08,7.85,2.01,0.52,0.94,Slate
41.43,23.25,7.69,9.18,0.94,0.55,4.8,0.58,Quartz
30.91,17.28,5.77,12.99,4.81,2.36,4.98,0.25,Syenite
33.11,14.03,9.99,4.35,10.0,4.15,2.41,2.6,Mica
43.04,8.95,10.13,10.09,0.82,5.59,3.32,2.5,Granite
77.32,16.55,12.42,10.77,3.19,5.89,0.89,0.48,Peridotite
75.55,13.42,1.27,5.5,7.83,2.23,3.33,0.34,Rhyolite
64.14,14.26,5.64,13.58,6.37,0.59,2.39,1.19,Syenite
52.18,7.78,3.46,13.36,5.56,4.12,2.25,0.35,Amphibolite
54.78,11.12,9.14,2.62,3.63,3.54,0.68,2.35,Pyroxene
65.76,9.46,14.66,7.52,5.02,5.0,1.83,2.51,Quartz
65.85,23.19,14.98,6.72,2.93,7.71,1.29,2.42,Amphibole
42.15,7.88,7.39,3.51,7.82,3.62,3.04,2.46,Slate
71.13,21.46,4.99,7.33,1.29,7.82,2.87,2.99,Talc
58.58,17.49,3.83,13.66,7.89,5.36,2.54,0.63,Dolomite
69.15,16.07,12.86,1.84,5.54,0.51,0.5,1.65,Basalt
55.42,24.99,9.12,14.79,1.24,6.78,0.75,0.22,Serpentine
37.96,5.56,4.43,5.92,2.41,6.33,1.19,0.25,Pyroxene
75.09,6.97,12.93,7.07,2.67,0.52,1.6,0.59,Talc
35.98,13.74,10.29,5.39,4.47,4.28,1.59,2.86,Syenite
65.72,22.76,10.43,5.6,11.65,1.61,4.86,0.63,Granite
56.25,5.64,1.51,10.85,7.49,1.29,3.66,1.1,Marble
62.85,6.24,5.69,13.34,9.57,1.19,3.68,0.91,Amphibole
56.87,6.8,8.29,7.02,8.1,2.85,2.5,1.26,Basalt
43.69,10.96,7.69,5.24,11.19,2.66,3.27,1.34,Gabbro
59.38,10.8,7.54,2.7,11.08,5.23,1.32,2.59,Slate
66.89,18.31,12.13,3.13,2.12,4.99,3.02,1.21,Pyroxene
67.01,15.8,1.89,9.86,10.91,2.09,1.89,2.68,Talc
74.98,6.62,10.48,12.93,2.7,6.06,4.04,1.17,Dolomite
41.46,8.65,11.17,5.13,2.18,1.11,3.17,1.95,Olivine
78.58,16.81,2.17,1.5,6.93,4.88,4.81,1.35,Andesite
69.14,15.9,6.82,14.96,8.83,0.66,0.58,2.64,Amphibolite
57.78,14.72,4.04,11.14,11.42,5.05,2.27,1.29,Quartz
79.77,10.98,13.4,9.24,1.89,0.99,3.87,2.95,Quartz
52.34,10.59,11.17,8.2,7.78,7.62,4.05,0.28,Granite
52.71,5.56,6.85,1.15,7.8,5.46,2.86,0.64,Feldspar
34.18,5.12,13.22,1.51,9.85,6.67,1.21,1.13,Basalt
30.97,11.03,7.92,7.63,0.56,5.4,0.64,0.94,Talc
77.89,17.32,2.37,4.41,1.07,5.64,1.12,2.24,Basalt
57.16,10.6,8.58,3.31,6.05,3.21,2.14,0.55,Gabbro
54.45,6.24,14.13,10.09,2.43,4.19,2.52,0.42,Amphibole
54.95,18.31,13.55,13.85,1.38,5.41,3.5,0.27,Gabbro
30.92,21.18,5.31,5.58,4.0,4.7,3.78,2.92,Pyroxene
75.38,20.99,12.69,13.44,7.06,2.21,3.51,0.58,Feldspar
41.58,8.12,12.98,1.57,4.49,2.31,4.58,2.1,Peridotite
55.09,24.49,3.89,3.59,6.76,6.56,2.17,2.87,Amphibole
47.2,7.6,12.96,4.99,1.3,4.68,3.52,1.05,Mica
59.24,17.41,14.6,2.7,7.29,4.86,2.59,2.39,Olivine
56.49,7.04,9.72,2.11,9.32,4.77,1.37,0.22,Basalt
43.98,22.99,7.3,8.03,3.28,3.94,2.48,2.55,Amphibole
65.34,16.52,13.54,5.21,0.82,2.63,4.96,2.37,Marble
78.82,21.35,11.22,14.02,6.87,6.57,1.57,2.42,Dolomite
31.34,22.41,2.34,9.08,4.2,1.83,4.51,0.72,Mica
71.89,7.83,7.25,14.39,5.46,3.32,2.97,1.29,Feldspar
59.18,21.06,9.82,11.37,7.42,6.17,3.0,2.12,Dolomite
78.27,14.54,10.73,10.2,7.23,2.9,4.61,0.68,Peridotite
78.13,13.68,6.58,6.99,2.79,6.21,3.54,2.53,Serpentine
53.84,21.39,4.01,11.24,6.54,3.55,3.19,2.71,Marble
39.95,19.5,9.24,10.62,8.09,0.56,1.06,1.28,Serpentine
65.57,7.53,10.98,4.21,6.47,5.67,1.32,0.73,Basalt
46.0,23.7,5.74,7.01,4.35,1.06,3.74,0.29,Feldspar
56.72,23.02,3.92,13.33,3.53,7.13,2.92,1.17,Serpentine
42.29,11.18,10.57,8.85,2.1,1.04,4.17,0.69,Gabbro
52.47,13.5,5.83,10.23,0.89,5.96,0.52,2.41,Feldspar
35.57,17.1,6.6,10.96,10.87,6.43,4.58,0.42,Feldspar
77.04,22.22,1.16,10.84,2.65,5.17,4.32,2.01,Dolomite
64.59,10.44,9.42,1.73,6.39,6.46,4.96,1.33,Feldspar
44.35,10.52,2.85,13.79,7.78,4.42,2.99,0.81,Pyroxene
43.89,8.09,5.06,11.31,8.7,5.14,3.24,2.23,Amphibolite
71.62,14.85,4.25,3.45,11.68,7.65,4.05,1.24,Chlorite
37.57,9.96,7.73,4.28,4.74,5.95,2.76,0.33,Marble
34.56,6.54,5.48,3.77,0.83,2.87,2.04,1.87,Olivine
41.17,18.4,14.57,12.94,9.76,0.81,2.59,2.57,Olivine
73.39,10.78,2.98,2.53,9.17,6.97,1.02,1.06,Andesite
76.22,10.35,12.07,3.86,5.3,0.68,3.07,1.92,Syenite
50.62,5.37,9.91,3.52,4.14,5.23,3.8,2.63,Syenite
59.78,15.43,10.8,5.45,6.14,1.78,4.4,0.31,Amphibolite
60.12,11.29,12.7,13.25,6.78,3.98,2.91,2.12,Dolomite
71.63,19.12,6.89,14.88,10.21,2.09,0.81,1.92,Marble
36.83,17.53,7.68,10.66,0.65,4.98,0.91,1.9,Syenite
69.45,24.49,2.99,13.68,1.71,3.36,0.5,0.38,Slate
69.89,12.39,12.58,6.93,4.2,5.41,2.81,0.96,Olivine
50.88,16.51,10.05,3.66,3.21,3.14,3.42,2.81,Olivine
64.04,9.11,9.35,5.8,7.69,0.68,3.04,1.91,Syenite
67.45,16.03,10.25,8.31,3.19,1.63,1.61,0.22,Peridotite
53.47,16.78,13.16,8.13,6.67,2.77,4.39,2.19,Slate
49.21,8.8,12.97,4.15,6.21,7.82,4.46,1.49,Syenite
76.34,18.34,10.99,1.54,3.91,2.64,0.8,2.72,Peridotite
45.97,8.07,7.76,1.56,1.54,2.27,2.35,1.53,Talc
51.34,13.1,8.74,8.87,11.04,1.77,1.56,1.8,Pyroxene
37.7,5.85,6.13,1.03,8.42,1.08,3.88,2.19,Andesite
40.86,10.29,7.89,7.59,4.07,2.08,1.58,2.05,Pyroxene
44.27,17.56,3.42,4.82,7.38,6.17,0.55,1.37,Marble
51.85,8.21,12.78,9.19,9.7,2.82,4.72,2.51,Dolomite
73.67,15.65,9.19,10.31,3.75,5.28,1.32,1.77,Marble
66.89,8.01,4.29,7.46,9.6,1.52,3.61,1.96,Dolomite
58.31,11.81,8.86,10.76,5.59,1.91,1.74,0.82,Olivine
54.78,20.18,4.46,8.93,9.31,6.14,4.38,2.86,Olivine
63.04,5.8,11.72,10.33,9.55,3.98,4.11,1.2,Chlorite
50.74,16.48,12.63,14.28,5.84,5.9,2.25,1.67,Andesite
61.64,19.03,4.76,13.98,7.96,7.72,3.34,2.15,Chlorite
45.78,17.38,9.22,3.78,4.94,4.23,0.74,1.03,Granite
44.41,6.99,6.55,9.96,4.95,7.65,3.62,1.04,Slate
66.36,7.25,5.22,9.8,1.99,1.42,3.44,2.05,Chlorite
46.83,11.4,14.63,13.9,8.06,7.17,2.54,1.71,Syenite
36.03,21.23,3.6,2.94,5.99,4.04,2.29,1.93,Basalt
